"","Comp1","Comp2","Comp3","Comp4"
"BIO_AREA_HA_2024",0.216026558345893,-0.712998933072819,0.155069584250301,0.148155108014724
"PROT_AREA_HA_2026",0.406567721970372,-0.130677326271996,0.144757684635768,0.371013158142802
"HVE_N_2024",0.143577440962945,-0.445684833526591,0.24123383004349,0.183865253527088
"GREENSUBS_N_2022",-0.0729535853776261,-0.722872069178022,0.493441348222252,-0.203651553867526
"GREENSUBS_kEUR_per_HA_2022",-0.183899851479643,-0.246811584281518,0.279423457284634,-0.560500137684423
"PESTICIDE_EXPOSURE_2022",-0.786152951307642,0.0455822943150527,-0.0779061684913343,-0.178283228668598
"CROP_DIV_SHANNON_2023",-0.679142296636754,-0.369663108818657,-0.117884591435313,0.311278513871674
"CULTIVATED_AREA_PCT_2023",-0.551870454311407,-0.278837406995105,0.030729761883586,-0.403306427692587
"FALLOW_AREA_HA_2023",-0.555280719698846,-0.279572050444573,0.136780016015322,0.560273229179583
"CROPROT_N_CULT_1523",-0.231609066278166,-0.38110850790177,-0.810813265616585,-0.0275169804247277
"CROPROT_N_MAX_1523",-0.346932169701577,0.485100472699648,0.718971466234229,0.0921204273453068
"CROPROT_N_PT_1523",0.783253728089334,-0.346365496059339,-0.0336522299239132,-0.181055533794824
